OPOName,OTCName,OTCServiceList,OPOProvider#,Address,City,State,ZIP,OPOTelephone#,OTCCode,Address,City,ZIP,OrganTransplantationCenterServiceTypeDescription,CommonRegionCode,CommonRegionName,CommonStateName,CommonStateAbbreviation,CommonStateFIPSCode,CommonStateCountyFIPSCode,CommonCountyName,CommonCityNamewithStateAbbreviation,CommonCongressionalDistrictName,CommonCongressNumberText,CommonStateFIPSCodeCongressionalDistrictNumber,CommonPostalCode,Longitude,Latitude,DataWarehouseRecordCreateDate,DataWarehouseRecordCreateDateText
LifeGift Organ Donation Center,Baylor  Scott and White All Saints Medical Center-Fort Worth," Kidney, Liver, Pancreas, Pancreas Islet",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXAS,1400 8th Ave,Fort Worth,76104,Pancreas Islet,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.34377617,32.72976947,10/25/2018,10/25/2018
LifeGift Organ Donation Center,Baylor  Scott and White All Saints Medical Center-Fort Worth," Kidney, Liver, Pancreas, Pancreas Islet",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXAS,1400 8th Ave,Fort Worth,76104,Liver,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.34377617,32.72976947,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,"University Hospital, University of Texas Health Science Center"," Intestine, Kidney, Liver, Lung, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXBC,4502 Medical Dr,San Antonio,78229,Kidney,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57909938,29.50998302,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,"University Hospital, University of Texas Health Science Center"," Intestine, Kidney, Liver, Lung, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXBC,4502 Medical Dr,San Antonio,78229,Pancreas,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57909938,29.50998302,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,"University Hospital, University of Texas Health Science Center"," Intestine, Kidney, Liver, Lung, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXBC,4502 Medical Dr,San Antonio,78229,Liver,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57909938,29.50998302,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,"University Hospital, University of Texas Health Science Center"," Intestine, Kidney, Liver, Lung, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXBC,4502 Medical Dr,San Antonio,78229,Intestine,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57909938,29.50998302,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,"University Hospital, University of Texas Health Science Center"," Intestine, Kidney, Liver, Lung, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXBC,4502 Medical Dr,San Antonio,78229,Lung,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57909938,29.50998302,10/25/2018,10/25/2018
LifeGift Organ Donation Center,Cook Children's Medical Center, Kidney,45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXCF,801 7th Ave,Fort Worth,76104,Kidney,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.3419613,32.73648969,10/25/2018,10/25/2018
Southwest Transplant Alliance,Children's Medical Center of Dallas," Heart, Intestine, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXCM,1935 Medical District Dr,Dallas,75235,Kidney,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 30,115,4830,75235,-96.83620139,32.80886417,10/25/2018,10/25/2018
Southwest Transplant Alliance,Children's Medical Center of Dallas," Heart, Intestine, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXCM,1935 Medical District Dr,Dallas,75235,Pancreas,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 30,115,4830,75235,-96.83620139,32.80886417,10/25/2018,10/25/2018
Southwest Transplant Alliance,Children's Medical Center of Dallas," Heart, Intestine, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXCM,1935 Medical District Dr,Dallas,75235,Liver,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 30,115,4830,75235,-96.83620139,32.80886417,10/25/2018,10/25/2018
Southwest Transplant Alliance,Children's Medical Center of Dallas," Heart, Intestine, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXCM,1935 Medical District Dr,Dallas,75235,Intestine,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 30,115,4830,75235,-96.83620139,32.80886417,10/25/2018,10/25/2018
Southwest Transplant Alliance,Children's Medical Center of Dallas," Heart, Intestine, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXCM,1935 Medical District Dr,Dallas,75235,Heart,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 30,115,4830,75235,-96.83620139,32.80886417,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Seton Medical Center Austin, Heart,45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXCT,1201 W 38th St,Austin,78705,Heart,6,Region 6,Texas,TX,48,48453,"Travis County, TX","Austin, TX",Texas District 25,115,4825,78705,-97.74556475,30.30627331,10/25/2018,10/25/2018
Southwest Transplant Alliance,Driscoll Children's Hospital, Kidney,45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXDC,3533 S Alameda St,Corpus Christi,78411,Kidney,6,Region 6,Texas,TX,48,48355,"Nueces County, TX","Corpus Christi, TX",Texas District 27,115,4827,78411,-97.38500839,27.74927199,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,North Austin Medical Center, Kidney,45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXDM,12221 N Mo Pac Expy,Austin,78758,Kidney,6,Region 6,Texas,TX,48,48453,"Travis County, TX","Austin, TX",Texas District 17,115,4817,78758,-97.70795621,30.41224504,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Doctor's Hospital at Renaissance, Kidney,45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXDR,5501 S Mccoll Rd,Edinburg,78539,Kidney,6,Region 6,Texas,TX,48,48215,"Hidalgo County, TX","Edinburg, TX",Texas District 15,115,4815,78539,-98.20392302,26.25383652,10/25/2018,10/25/2018
LifeGift Organ Donation Center,Texas Health Harris Methodist Fort Worth Hospital, Kidney,45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXFW,1301 Pennsylvania Ave,Fort Worth,76104,Kidney,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.3389825,32.73843047,10/25/2018,10/25/2018
Southwest Transplant Alliance,Medical City Dallas Hospital," Heart, Kidney, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXHD,7777 Forest Ln,Dallas,75230,Kidney,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 32,115,4832,75230,-96.77178167,32.90947879,10/25/2018,10/25/2018
Southwest Transplant Alliance,Medical City Dallas Hospital," Heart, Kidney, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXHD,7777 Forest Ln,Dallas,75230,Pancreas,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 32,115,4832,75230,-96.77178167,32.90947879,10/25/2018,10/25/2018
Southwest Transplant Alliance,Medical City Dallas Hospital," Heart, Kidney, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXHD,7777 Forest Ln,Dallas,75230,Heart,6,Region 6,Texas,TX,48,48113,"Dallas County, TX","Dallas, TX",Texas District 32,115,4832,75230,-96.77178167,32.90947879,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Kidney,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Pancreas,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Liver,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Intestine,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Heart,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,"Memorial Hermann Hospital, University of Texas at Houston"," Heart, Intestine, Kidney, Liver, Lung, Pancreas",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHH,6411 Fannin St,Houston,77030,Lung,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39685313,29.71462141,10/25/2018,10/25/2018
LifeGift Organ Donation Center,CHI St. Luke's Health Baylor College of Medicine Medical Center," Heart, Kidney, Liver, Lung",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHI,6720 Bertner Ave,Houston,77030,Kidney,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39916562,29.70868372,10/25/2018,10/25/2018
LifeGift Organ Donation Center,CHI St. Luke's Health Baylor College of Medicine Medical Center," Heart, Kidney, Liver, Lung",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHI,6720 Bertner Ave,Houston,77030,Liver,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39916562,29.70868372,10/25/2018,10/25/2018
LifeGift Organ Donation Center,CHI St. Luke's Health Baylor College of Medicine Medical Center," Heart, Kidney, Liver, Lung",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHI,6720 Bertner Ave,Houston,77030,Heart,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39916562,29.70868372,10/25/2018,10/25/2018
LifeGift Organ Donation Center,CHI St. Luke's Health Baylor College of Medicine Medical Center," Heart, Kidney, Liver, Lung",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXHI,6720 Bertner Ave,Houston,77030,Lung,6,Region 6,Texas,TX,48,48201,"Harris County, TX","Houston, TX",Texas District 09,115,4809,77030,-95.39916562,29.70868372,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Methodist Specialty and Transplant Hospital," Heart, Kidney, Liver, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXHS,8026 Floyd Curl Dr,San Antonio,78229,Kidney,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57728511,29.51293794,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Methodist Specialty and Transplant Hospital," Heart, Kidney, Liver, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXHS,8026 Floyd Curl Dr,San Antonio,78229,Pancreas,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57728511,29.51293794,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Methodist Specialty and Transplant Hospital," Heart, Kidney, Liver, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXHS,8026 Floyd Curl Dr,San Antonio,78229,Liver,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57728511,29.51293794,10/25/2018,10/25/2018
Texas Organ Sharing Alliance,Methodist Specialty and Transplant Hospital," Heart, Kidney, Liver, Pancreas",45P004,8122 Datapoint Dr Ste 200,San Antonio,TX,78229-3264,210-614-7030,TXHS,8026 Floyd Curl Dr,San Antonio,78229,Heart,6,Region 6,Texas,TX,48,48029,"Bexar County, TX","San Antonio, TX",Texas District 21,115,4821,78229,-98.57728511,29.51293794,10/25/2018,10/25/2018
Southwest Transplant Alliance,University of Texas Medical Branch at Galveston," Heart, Kidney, Liver, Pancreas",45P002,3710 Rawlins St Ste 1100,Dallas,TX,75219-6405,214-522-0255,TXJS,301 University Blvd,Galveston,77555,Kidney,6,Region 6,Texas,TX,48,48167,"Galveston County, TX","Galveston, TX",Texas District 14,115,4814,77555,-94.77482918,29.31133337,10/25/2018,10/25/2018
